序号,中文名,外文名,GitHub仓库,已归档,Star数,Fork数,更新时间,许可证
0,通用模板,Common Templates,https://github.com/kourgeorge/arxiv-style,0,1251,329,2024-01-02,MIT
1,国家自然科学基金,National Natural Science Foundation of China,https://github.com/Ruzim/NSFC-application-template-latex,0,961,244,2025-03-06,MIT
2,中国科学院大学,University of Chinese Academy of Sciences,https://github.com/mohuangrui/ucasproposal,0,651,147,2021-10-29, 
3,通用模板,Common Templates,https://github.com/apoorvkh/cvpr-latex-template,0,576,180,2025-02-10, 
4,国家自然科学基金,National Natural Science Foundation of China,https://github.com/huangwb8/ChineseResearchLaTeX,0,503,67,2025-03-11,MIT
5,国家自然科学基金,National Natural Science Foundation of China,https://github.com/fylimas/nsfc,0,472,129,2025-03-15, 
6,国家自然科学基金,National Natural Science Foundation of China,https://github.com/YimianDai/iNSFC,0,442,192,2024-01-09,MIT
7,通用模板,Common Templates,https://github.com/jpeisenbarth/SRS-Tex,0,154,70,2022-09-14,GPL-3.0
8,西安电子科技大学,Xidian University,https://github.com/note286/xdupgtp,0,106,8,2022-03-18,LPPL-1.3c
9,浙江大学,Zhejiang University,https://github.com/megrxu/zjureport,0,102,36,2023-03-08,LPPL-1.3c
10,通用模板,Common Templates,https://github.com/latextemplates/ieee-enhanced,0,101,36,2025-04-12,0BSD
11,国防科技大学,National Defense University of Science and Technology,https://github.com/TomHeaven/nudtproposal,0,95,33,2024-04-18, 
12,通用模板,Common Templates,https://github.com/ruohoruotsi/latex-template-arxiv-preprint,0,92,22,2017-11-29,MIT
13,上海交通大学,Shanghai Jiaotong University,https://github.com/NemoYuan2008/SJTU-Thesis-Proposal,0,92,4,2024-11-15,MIT
14,通用模板,Common Templates,https://github.com/quarto-journals/article-format-template,0,74,18,2025-04-17,MIT
15,同济大学,Tongji University,https://github.com/TJ-CSCCG/tongji-recommendation-template,0,72,4,2023-11-15,LPPL-1.3c
16,通用模板,Common Templates,https://github.com/cdc08x/letter-2-reviewers-LaTeX-template,0,67,23,2025-03-07,GPL-3.0
17,华北理工大学,North China University of Science and Technology,https://github.com/muyuuuu/A-customized-MCM-LaTeX-template-based-on-ctexart,0,56,18,2021-02-07,GPL-3.0
18,通用模板,Common Templates,https://github.com/stoufa/ISI-LaTeX-Template,0,55,30,2020-06-14, 
19,中国科学院大学,University of Chinese Academy of Sciences,https://github.com/jweihe/UCAS_Latex_Template,0,55,4,2023-06-07, 
20,北京航空航天大学,"Beihang University (Beijing University of Aeronautics and Astronautics, BUAA)",https://github.com/Htallone/JBUAA,0,54,20,2018-08-21, 
21,（美国）麻省理工学院,Massachusetts Institute of Technology (MIT),https://github.com/mit-eecs-gsa/mit-eecs-thesis-proposal-template,0,52,36,2024-01-30,MIT
