学校（机构）	学校（机构）英文	分类	语言	GitHub仓库	已归档	Star数	Fork数
简历模板	Résumé/CV Templates	resume	web	https://github.com/amruthpillai/reactive-resume	False	36283	4028
简历模板	Résumé/CV Templates	resume	latex	https://github.com/posquit0/Awesome-CV	False	27307	5217
简历模板	Résumé/CV Templates	resume	web	https://github.com/salomonelli/best-resume-ever	False	16460	2288
简历模板	Résumé/CV Templates	resume	misc	https://github.com/rendercv/rendercv	False	16313	1184
简历模板	Résumé/CV Templates	resume	latex	https://github.com/billryan/resume	False	10989	2834
简历模板	Résumé/CV Templates	resume	web	https://github.com/xitanggg/open-resume	False	8546	975
简历模板	Résumé/CV Templates	resume	latex	https://github.com/sb2nov/resume	False	6586	1816
简历模板	Résumé/CV Templates	resume	latex	https://github.com/deedy/Deedy-Resume	False	4976	1290
简历模板	Résumé/CV Templates	resume	web	https://github.com/HugoBlox/hugo-theme-academic-cv	False	4887	6480
简历模板	Résumé/CV Templates	resume	web	https://github.com/jsonresume/resume-cli	False	4706	393
简历模板	Résumé/CV Templates	resume	markdown	https://github.com/BingyanStudio/LapisCV	False	4477	284
简历模板	Résumé/CV Templates	resume	latex	https://github.com/saadq/resumake.io	False	3557	485
简历模板	Résumé/CV Templates	resume	markdown	https://github.com/CyC2018/Markdown-Resume	False	3348	1580
简历模板	Résumé/CV Templates	resume	latex	https://github.com/jankapunkt/latexcv	False	3276	639
简历模板	Résumé/CV Templates	resume	web	https://github.com/visiky/resume	False	3081	760
简历模板	Résumé/CV Templates	resume	latex	https://github.com/hijiangtao/resume	False	3058	694
简历模板	Résumé/CV Templates	resume	latex	https://github.com/dnl-blkv/mcdowell-cv	False	2649	844
简历模板	Résumé/CV Templates	resume	latex	https://github.com/jakegut/resume	True	2549	595
简历模板	Résumé/CV Templates	resume	web	https://github.com/sproogen/modern-resume-theme	False	2287	1542
简历模板	Résumé/CV Templates	resume	web	https://github.com/WebPraktikos/universal-resume	False	1778	204
简历模板	Résumé/CV Templates	resume	markdown	https://github.com/mszep/pandoc_resume	False	1742	763
简历模板	Résumé/CV Templates	resume	markdown	https://github.com/elipapa/markdown-cv	False	1473	3354
简历模板	Résumé/CV Templates	resume	web	https://github.com/Arman19941113/dnd-resume	False	1379	126
简历模板	Résumé/CV Templates	resume	misc	https://github.com/yamlresume/yamlresume	False	1331	60
简历模板	Résumé/CV Templates	resume	markdown	https://github.com/mitchelloharawild/vitae	False	1266	245
简历模板	Résumé/CV Templates	resume	latex	https://github.com/darwiin/yaac-another-awesome-cv	False	1015	279
简历模板	Résumé/CV Templates	resume	latex	https://github.com/moderncv/moderncv	False	946	207
简历模板	Résumé/CV Templates	resume	markdown	https://github.com/Renovamen/oh-my-cv	False	923	176
简历模板	Résumé/CV Templates	resume	latex	https://github.com/arasgungore/arasgungore-CV	False	916	273
简历模板	Résumé/CV Templates	resume	latex	https://github.com/liweitianux/resume	False	799	149
简历模板	Résumé/CV Templates	resume	typst	https://github.com/OrangeX4/Chinese-Resume-in-Typst	False	798	90
简历模板	Résumé/CV Templates	resume	typst	https://github.com/yunanwg/brilliant-CV	False	762	94
简历模板	Résumé/CV Templates	resume	latex	https://github.com/fky2015/resume-ng	False	719	74
简历模板	Résumé/CV Templates	resume	typst	https://github.com/skyzh/chicv	False	713	52
简历模板	Résumé/CV Templates	resume	web	https://github.com/nordicgiant2/react-nice-resume	False	688	459
简历模板	Résumé/CV Templates	resume	web	https://github.com/tbaltrushaitis/cv	False	628	209
简历模板	Résumé/CV Templates	resume	latex	https://github.com/subidit/rover-resume	False	601	104
简历模板	Résumé/CV Templates	resume	web	https://github.com/mmacneil/devfolio	False	558	178
简历模板	Résumé/CV Templates	resume	typst	https://github.com/ptsouchlos/modern-cv	False	554	121
简历模板	Résumé/CV Templates	resume	latex	https://github.com/zheyuye/resume-chinese	False	548	53
简历模板	Résumé/CV Templates	resume	latex	https://github.com/zachscrivena/simple-resume-cv	False	544	154
简历模板	Résumé/CV Templates	resume	latex	https://github.com/dyweb/Deedy-Resume-for-Chinese	False	543	142
简历模板	Résumé/CV Templates	resume	latex	https://github.com/huajh/awesome-latex-cv	False	525	146
简历模板	Résumé/CV Templates	resume	latex	https://github.com/sc932/resume	False	524	127
简历模板	Résumé/CV Templates	resume	misc	https://github.com/byoungd/Resume-template-for-Coder	False	522	90
简历模板	Résumé/CV Templates	resume	typst	https://github.com/jskherman/imprecv	False	501	73
简历模板	Résumé/CV Templates	resume	web	https://github.com/sramezani/resume-builder	False	498	102
简历模板	Résumé/CV Templates	resume	latex	https://github.com/geekplux/cv_resume	False	487	153
简历模板	Résumé/CV Templates	resume	misc	https://github.com/IvanIsCoding/ResuLLMe	False	461	132
简历模板	Résumé/CV Templates	resume	latex	https://github.com/thehale/expressive-resume	False	427	193
简历模板	Résumé/CV Templates	resume	latex	https://github.com/bamos/cv	False	419	152
简历模板	Résumé/CV Templates	resume	latex	https://github.com/opieters/limecv	False	419	49
简历模板	Résumé/CV Templates	resume	web	https://github.com/ltlylfun/ResumeToJob	False	415	42
简历模板	Résumé/CV Templates	resume	web	https://github.com/claudiabdm/cvfy	False	410	121
简历模板	Résumé/CV Templates	resume	latex	https://github.com/cies/resume	False	399	69
简历模板	Résumé/CV Templates	resume	latex	https://github.com/changh95/latex_resume_template_kor	False	394	51
简历模板	Résumé/CV Templates	resume	latex	https://github.com/matchy233/chi-cv-template	False	388	29
简历模板	Résumé/CV Templates	resume	web	https://github.com/wzdnzd/resume	False	367	72
简历模板	Résumé/CV Templates	resume	latex	https://github.com/gboeing/cv	False	365	124
简历模板	Résumé/CV Templates	resume	misc	https://github.com/Zilize/DrawCV	False	360	29
简历模板	Résumé/CV Templates	resume	web	https://github.com/uyu423/resume-nextjs	False	349	212
简历模板	Résumé/CV Templates	resume	ms-word	https://github.com/mmmlllnnn/ResumeCollection	False	342	66
简历模板	Résumé/CV Templates	resume	web	https://github.com/amitmishrg/code-resume	False	315	52
简历模板	Résumé/CV Templates	resume	web	https://github.com/crispgm/resume	False	312	88
简历模板	Résumé/CV Templates	resume	web	https://github.com/bedimcode/responsive-resume-cv-smith	False	304	173
简历模板	Résumé/CV Templates	resume	latex	https://github.com/dcetin/Simple-CV	False	299	54
简历模板	Résumé/CV Templates	resume	latex	https://github.com/leouieda/cv	True	290	52
简历模板	Résumé/CV Templates	resume	web	https://github.com/ryanbalieiro/react-portfolio-template	False	281	105
简历模板	Résumé/CV Templates	resume	misc	https://github.com/alexpovel/ancv	False	268	12
简历模板	Résumé/CV Templates	resume	web	https://github.com/RylanBot/resume-json-pdf	False	267	23
简历模板	Résumé/CV Templates	resume	latex	https://github.com/HouJP/resume	False	265	74
简历模板	Résumé/CV Templates	resume	web	https://github.com/kaustubhai/portfolio-template	False	246	75
简历模板	Résumé/CV Templates	resume	web	https://github.com/afnizarnur/draco	False	217	126
简历模板	Résumé/CV Templates	resume	web	https://github.com/Stavrospanakakis/jekyll-cv	False	213	267
简历模板	Résumé/CV Templates	resume	web	https://github.com/izzydoesizzy/resumetemplate	False	208	191
简历模板	Résumé/CV Templates	resume	web	https://github.com/Jayin/resume	False	206	296
简历模板	Résumé/CV Templates	resume	misc	https://github.com/weidong-repo/AIResume	False	196	35
简历模板	Résumé/CV Templates	resume	misc	https://github.com/Hunterdii/Smart-AI-Resume-Analyzer	False	192	71
简历模板	Résumé/CV Templates	resume	typst	https://github.com/GeorgeHoneywood/alta-typst	False	187	26
简历模板	Résumé/CV Templates	resume	latex	https://github.com/dyinnz/uniquecv	False	186	52
简历模板	Résumé/CV Templates	resume	web	https://github.com/manerfan/vuesume	False	182	74
简历模板	Résumé/CV Templates	resume	latex	https://github.com/themagicalmammal/Resume	False	164	37
简历模板	Résumé/CV Templates	resume	typst	https://github.com/matchy233/typst-chi-cv-template	False	159	12
简历模板	Résumé/CV Templates	resume	web	https://github.com/sneas/cv-template	False	152	50
简历模板	Résumé/CV Templates	resume	typst	https://github.com/NorthSecond/Auto_Typst_Resume_Template	False	152	18
简历模板	Résumé/CV Templates	resume	typst	https://github.com/wusyong/resume.typ	False	149	12
简历模板	Résumé/CV Templates	resume	latex	https://github.com/harshibar/resume	False	143	50
简历模板	Résumé/CV Templates	resume	misc	https://github.com/varbhat/cvtek	True	142	4
简历模板	Résumé/CV Templates	resume	latex	https://github.com/Htallone/myCV	False	141	31
简历模板	Résumé/CV Templates	resume	web	https://github.com/idimetrix/cv	False	139	26
简历模板	Résumé/CV Templates	resume	typst	https://github.com/bamboovir/typst-resume-template	False	139	19
简历模板	Résumé/CV Templates	resume	markdown	https://github.com/john-bokma/resume-pandoc	False	115	30
简历模板	Résumé/CV Templates	resume	typst	https://github.com/tzx/NNJR	False	112	16
简历模板	Résumé/CV Templates	resume	latex	https://github.com/ppresume/community	False	112	3
简历模板	Résumé/CV Templates	resume	latex	https://github.com/abrandenberger/academic-resume	False	106	25
简历模板	Résumé/CV Templates	resume	typst	https://github.com/elegaanz/vercanard	False	106	10
简历模板	Résumé/CV Templates	resume	latex	https://github.com/mattyHerzig/mattys_resume	False	99	16
简历模板	Résumé/CV Templates	resume	latex	https://github.com/mps9506/quarto-cv	False	97	18
简历模板	Résumé/CV Templates	resume	typst	https://github.com/caffeinatedgaze/bare-bones-cv	False	97	14
简历模板	Résumé/CV Templates	resume	typst	https://github.com/Harkunwar/attractive-typst-resume	False	91	38
简历模板	Résumé/CV Templates	resume	typst	https://github.com/ice-kylin/typst-cv-miku	False	91	6
简历模板	Résumé/CV Templates	resume	typst	https://github.com/kazuyanagimoto/quarto-awesomecv-typst	False	90	9
简历模板	Résumé/CV Templates	resume	latex	https://github.com/avinal/resume	False	76	29
简历模板	Résumé/CV Templates	resume	typst	https://github.com/peterpf/modern-typst-resume	False	67	13
简历模板	Résumé/CV Templates	resume	latex	https://github.com/seisman/cv	False	66	28
简历模板	Résumé/CV Templates	resume	typst	https://github.com/giovanniberti/moderncv.typst	False	66	8
简历模板	Résumé/CV Templates	resume	web	https://github.com/maqi1520/next-resume	False	63	32
简历模板	Résumé/CV Templates	resume	web	https://github.com/blackode/online-resume	False	59	30
简历模板	Résumé/CV Templates	resume	latex	https://github.com/Pseudomanifold/latex-cv	False	59	17
简历模板	Résumé/CV Templates	resume	latex	https://github.com/chrisby/prometheusCV	False	58	11
简历模板	Résumé/CV Templates	resume	latex	https://github.com/fanzeyi/cv	False	54	10
简历模板	Résumé/CV Templates	resume	latex	https://github.com/JesperDramsch/latex-cv-boosted	False	51	17
简历模板	Résumé/CV Templates	resume	latex	https://github.com/MuhammedBuyukkinaci/Data-Scientist-LaTeX-Resume-with-Photo	False	50	23
