学校（机构）	学校（机构）英文	分类	语言	GitHub仓库	已归档	Star数	Fork数
通用模板	Common Templates	presentation	latex	https://github.com/matze/mtheme	False	6776	858
清华大学	Tsinghua University	thesis	latex	https://github.com/tuna/thuthesis	False	5154	1139
中国科学院大学	University of Chinese Academy of Sciences	thesis	latex	https://github.com/mohuangrui/ucasthesis	False	3781	946
上海交通大学	Shanghai Jiaotong University	thesis	latex	https://github.com/sjtug/SJTUThesis	False	3698	794
浙江大学	Zhejiang University	thesis	latex	https://github.com/TheNetAdmin/zjuthesis	False	3484	717
通用模板	Common Templates	book	latex	https://github.com/ElegantLaTeX/ElegantBook	False	2385	442
哈尔滨工业大学	Harbin Institute of Technology	thesis	latex	https://github.com/hithesis/hithesis	False	2103	391
中国科学技术大学	University of Science and Technology of China	thesis	latex	https://github.com/ustctug/ustcthesis	False	2004	441
通用模板	Common Templates	presentation	latex	https://github.com/josephwright/beamer	False	1619	154
电子科技大学	University of Electronic Science and Technology of China	thesis	latex	https://github.com/bdebye/thesisuestc	False	1592	348
清华大学	Tsinghua University	presentation	powerpoint	https://github.com/atomiechen/THU-PPT-Theme	False	1570	98
通用模板	Common Templates	thesis	latex	https://github.com/AndreyAkinshin/Russian-Phd-LaTeX-Dissertation-Template	False	1481	754
通用模板	Common Templates	paper	latex	https://github.com/kourgeorge/arxiv-style	False	1455	366
（英国）伦敦大学学院	University College London (UCL)	thesis	markdown	https://github.com/tompollard/phd_thesis_markdown	False	1253	555
通用模板	Common Templates	thesis	latex	https://github.com/Pseudomanifold/latex-mimosis	False	1215	134
武汉大学	Wuhan University	thesis	latex	https://github.com/whutug/whu-thesis	False	1212	213
通用模板	Common Templates	presentation	latex	https://github.com/anishathalye/gemini	False	1198	290
北京航空航天大学	Beihang University (Beijing University of Aeronautics and Astronautics, BUAA)	thesis	latex	https://github.com/BHOSC/BUAAthesis	False	1184	302
国家自然科学基金	National Natural Science Foundation of China	report	latex	https://github.com/fylimas/nsfc	False	1071	275
通用模板	Common Templates	book	latex	https://github.com/fmarotta/kaobook	False	1040	216
北京理工大学	Beijing Institute of Technology	thesis	latex	https://github.com/BITNP/BIThesis	False	1026	118
西安电子科技大学	Xidian University	thesis	latex	https://github.com/note286/xduts	False	1026	96
国家自然科学基金	National Natural Science Foundation of China	report	latex	https://github.com/Ruzim/NSFC-application-template-latex	False	1025	256
复旦大学	Fudan University	thesis	latex	https://github.com/stone-zeng/fduthesis	False	1012	230
通用模板	Common Templates	thesis	latex	https://github.com/joaomlourenco/novathesis	False	954	178
通用模板	Common Templates	thesis	latex	https://github.com/derric/cleanthesis	False	918	112
（英国）剑桥大学	University of Cambridge	thesis	latex	https://github.com/kks32/phd-thesis-template	False	878	429
中山大学	Sun Yat-sen University	thesis	latex	https://github.com/SYSU-SCC/sysu-thesis	False	835	84
通用模板	Common Templates	thesis	markdown	https://github.com/ismayc/thesisdown	False	820	358
国家自然科学基金	National Natural Science Foundation of China	report	latex	https://github.com/huangwb8/ChineseResearchLaTeX	False	816	106
通用模板	Common Templates	thesis	latex	https://github.com/suchow/Dissertate	False	745	170
中国科学院大学	University of Chinese Academy of Sciences	report	latex	https://github.com/mohuangrui/ucasproposal	False	713	153
电子科技大学	University of Electronic Science and Technology of China	thesis	latex	https://github.com/shifujun/UESTCthesis	True	636	166
通用模板	Common Templates	paper	latex	https://github.com/apoorvkh/cvpr-latex-template	False	612	187
南京大学	Nanjing University	thesis	latex	https://github.com/nju-lug/NJUThesis	False	610	96
北京大学	Peking University	thesis	latex	https://github.com/CasperVector/pkuthss	False	601	197
北京航空航天大学	Beihang University (Beijing University of Aeronautics and Astronautics, BUAA)	thesis	latex	https://github.com/CheckBoxStudio/BUAAThesis	False	597	108
西北工业大学	Northwestern Polytechnical University	thesis	latex	https://github.com/NWPUMetaphysicsOffice/Yet-Another-LaTeX-Template-for-NPU-Thesis	False	567	144
北京邮电大学	Beijing University of Posts and Telecommunications	thesis	latex	https://github.com/sheng-qiang/BUPTBachelorThesis	False	540	121
通用模板	Common Templates	presentation	latex	https://github.com/pcafrica/focus-beamertheme	False	540	44
国防科技大学	National Defense University of Science and Technology	thesis	latex	https://github.com/liubenyuan/nudtpaper	False	518	166
华南理工大学	South China University of Technology	thesis	latex	https://github.com/mengchaoheng/SCUT_thesis	False	502	84
国家自然科学基金	National Natural Science Foundation of China	report	latex	https://github.com/YimianDai/iNSFC	False	466	196
（德国）慕尼黑工业大学	Technical University of Munich	thesis	latex	https://github.com/fwalch/tum-thesis-latex	True	462	278
南京大学	Nanjing University	thesis	latex	https://github.com/Haixing-Hu/nju-thesis	False	439	149
清华大学	Tsinghua University	presentation	latex	https://github.com/tuna/THU-Beamer-Theme	False	430	86
电子科技大学	University of Electronic Science and Technology of China	thesis	latex	https://github.com/tinoryj/UESTC-Thesis-Latex-Template	False	426	81
北京邮电大学	Beijing University of Posts and Telecommunications	thesis	latex	https://github.com/rioxwang/BUPTGraduateThesis	False	425	116
天津大学	Tianjin University	thesis	latex	https://github.com/a171232886/TJUThesis_master_2021	False	421	68
通用模板	Common Templates	presentation	latex	https://github.com/Urinx/LaTeX-PPT-Template	False	404	117
北京理工大学	Beijing Institute of Technology	thesis	latex	https://github.com/BIT-thesis/LaTeX-template	False	396	94
通用模板	Common Templates	presentation	latex	https://github.com/anishathalye/auriga	False	396	36
东南大学	Southeast University	presentation	latex	https://github.com/TouchFishPioneer/SEU-Beamer-Slide	False	386	92
通用模板	Common Templates	thesis	latex	https://github.com/latextemplates/scientific-thesis-template	False	382	134
西安交通大学	Xi'an Jiaotong University	thesis	latex	https://github.com/obster-y/XJTU-thesis	False	377	62
南京大学	Nanjing University	thesis	latex	https://github.com/njuhan/njuthesis-nju-thesis-template	False	370	115
南京航空航天大学	Nanjing University of Aeronautics and Astronautics	thesis	latex	https://github.com/nuaatug/nuaathesis	False	363	76
通用模板	Common Templates	paper	latex	https://github.com/pmichaillat/latex-paper	False	350	102
西安电子科技大学	Xidian University	thesis	latex	https://github.com/note286/xdupgthesis	False	345	56
同济大学	Tongji University	thesis	latex	https://github.com/marquistj13/TongjiThesis	False	340	108
中国科学技术大学	University of Science and Technology of China	presentation	latex	https://github.com/ustctug/ustcbeamer	False	331	63
哈尔滨工业大学	Harbin Institute of Technology	thesis	latex	https://github.com/YangLaTeX/hitszthesis	False	326	49
广州大学	Guangzhou University	thesis	latex	https://github.com/swq123459/GZHU-Report-Latex-Version	False	324	167
