序号,中文名,外文名,GitHub仓库,已归档,Star数,Fork数,更新时间,许可证
0,**清华大学**,*Tsinghua University*,[:simple-github: tuna/<br>thuthesis](https://github.com/tuna/thuthesis),:unlock:,4759,1105,:material-update: `2025-03-13`,:material-license: `LPPL-1.3c`
1,**中国科学院大学**,*University of Chinese Academy of Sciences*,[:simple-github: mohuangrui/<br>ucasthesis](https://github.com/mohuangrui/ucasthesis),:unlock:,3579,943,:material-update: `2024-02-29`, 
2,**上海交通大学**,*Shanghai Jiaotong University*,[:simple-github: sjtug/<br>SJTUThesis](https://github.com/sjtug/SJTUThesis),:unlock:,3477,794,:material-update: `2025-03-06`,:material-license: `Apache-2.0`
3,**浙江大学**,*Zhejiang University*,[:simple-github: TheNetAdmin/<br>zjuthesis](https://github.com/TheNetAdmin/zjuthesis),:unlock:,2905,657,:material-update: `2025-01-06`,:material-license: `MIT`
4,**哈尔滨工业大学**,*Harbin Institute of Technology*,[:simple-github: hithesis/<br>hithesis](https://github.com/hithesis/hithesis),:unlock:,1796,368,:material-update: `2025-03-11`, 
5,**中国科学技术大学**,*University of Science and Technology of China*,[:simple-github: ustctug/<br>ustcthesis](https://github.com/ustctug/ustcthesis),:unlock:,1775,420,:material-update: `2025-03-14`,:material-license: `LPPL-1.3c`
6,**电子科技大学**,*University of Electronic Science and Technology of China*,[:simple-github: bdebye/<br>thesisuestc](https://github.com/bdebye/thesisuestc),:unlock:,1458,333,:material-update: `2025-01-24`, 
7,**通用模板**,*Common Templates*,[:simple-github: AndreyAkinshin/<br>Russian-Phd-LaTeX-Dissertation-Template](https://github.com/AndreyAkinshin/Russian-Phd-LaTeX-Dissertation-Template),:unlock:,1377,693,:material-update: `2025-02-24`,:material-license: `CC-BY-4.0`
8,**通用模板**,*Common Templates*,[:simple-github: ElegantLaTeX/<br>ElegantPaper](https://github.com/ElegantLaTeX/ElegantPaper),:unlock:,1340,253,:material-update: `2022-12-31`,:material-license: `LPPL-1.3c`
9,**通用模板**,*Common Templates*,[:simple-github: Pseudomanifold/<br>latex-mimosis](https://github.com/Pseudomanifold/latex-mimosis),:unlock:,1183,134,:material-update: `2023-11-16`,:material-license: `MIT`
10,**北京航空航天大学**,"*Beihang University (Beijing University of Aeronautics and Astronautics, BUAA)*",[:simple-github: BHOSC/<br>BUAAthesis](https://github.com/BHOSC/BUAAthesis),:unlock:,1079,293,:material-update: `2025-01-12`,:material-license: `NOASSERTION`
11,**武汉大学**,*Wuhan University*,[:simple-github: whutug/<br>whu-thesis](https://github.com/whutug/whu-thesis),:unlock:,1039,206,:material-update: `2025-02-20`,:material-license: `LPPL-1.3c`
12,**通用模板**,*Common Templates*,[:simple-github: derric/<br>cleanthesis](https://github.com/derric/cleanthesis),:unlock:,912,115,:material-update: `2024-02-15`, 
13,**复旦大学**,*Fudan University*,[:simple-github: stone-zeng/<br>fduthesis](https://github.com/stone-zeng/fduthesis),:unlock:,895,219,:material-update: `2024-12-08`,:material-license: `LPPL-1.3c`
14,**西安电子科技大学**,*Xidian University*,[:simple-github: note286/<br>xduts](https://github.com/note286/xduts),:unlock:,848,80,:material-update: `2025-02-17`,:material-license: `LPPL-1.3c`
15,**（英国）剑桥大学**,*University of Cambridge*,[:simple-github: kks32/<br>phd-thesis-template](https://github.com/kks32/phd-thesis-template),:unlock:,843,404,:material-update: `2023-07-30`,:material-license: `MIT`
16,**通用模板**,*Common Templates*,[:simple-github: joaomlourenco/<br>novathesis](https://github.com/joaomlourenco/novathesis),:unlock:,839,141,:material-update: `2025-03-02`,:material-license: `LPPL-1.3c`
17,**北京理工大学**,*Beijing Institute of Technology*,[:simple-github: BITNP/<br>BIThesis](https://github.com/BITNP/BIThesis),:unlock:,782,101,:material-update: `2025-02-20`,:material-license: `LPPL-1.3c`
18,**通用模板**,*Common Templates*,[:simple-github: suchow/<br>Dissertate](https://github.com/suchow/Dissertate),:unlock:,724,166,:material-update: `2023-02-18`,:material-license: `AGPL-3.0`
19,**中山大学**,*Sun Yat-sen University*,[:simple-github: SYSU-SCC/<br>sysu-thesis](https://github.com/SYSU-SCC/sysu-thesis),:unlock:,650,74,:material-update: `2025-03-12`,:material-license: `GPL-3.0`
20,**电子科技大学**,*University of Electronic Science and Technology of China*,[:simple-github: shifujun/<br>UESTCthesis](https://github.com/shifujun/UESTCthesis),:card_box:,606,165,:material-update: `2023-04-24`, 
21,**北京航空航天大学**,"*Beihang University (Beijing University of Aeronautics and Astronautics, BUAA)*",[:simple-github: CheckBoxStudio/<br>BUAAThesis](https://github.com/CheckBoxStudio/BUAAThesis),:unlock:,582,110,:material-update: `2024-02-01`,:material-license: `MIT`
22,**北京大学**,*Peking University*,[:simple-github: CasperVector/<br>pkuthss](https://github.com/CasperVector/pkuthss),:unlock:,559,189,:material-update: `2024-04-25`, 
23,**南京大学**,*Nanjing University*,[:simple-github: nju-lug/<br>NJUThesis](https://github.com/nju-lug/NJUThesis),:unlock:,512,79,:material-update: `2025-02-26`,:material-license: `LPPL-1.3c`
24,**北京邮电大学**,*Beijing University of Posts and Telecommunications*,[:simple-github: sheng-qiang/<br>BUPTBachelorThesis](https://github.com/sheng-qiang/BUPTBachelorThesis),:unlock:,500,121,:material-update: `2022-06-02`,:material-license: `MIT`
25,**西北工业大学**,*Northwestern Polytechnical University*,[:simple-github: NWPUMetaphysicsOffice/<br>Yet-Another-LaTeX-Template-for-NPU-Thesis](https://github.com/NWPUMetaphysicsOffice/Yet-Another-LaTeX-Template-for-NPU-Thesis),:unlock:,452,112,:material-update: `2025-02-03`,:material-license: `GPL-3.0`
26,**（德国）慕尼黑工业大学**,*Technical University of Munich*<br>(Technische Universität München),[:simple-github: fwalch/<br>tum-thesis-latex](https://github.com/fwalch/tum-thesis-latex),:card_box:,451,258,:material-update: `2022-12-20`, 
27,**南京大学**,*Nanjing University*,[:simple-github: Haixing-Hu/<br>nju-thesis](https://github.com/Haixing-Hu/nju-thesis),:unlock:,423,151,:material-update: `2021-03-23`,:material-license: `GPL-2.0`
28,**北京邮电大学**,*Beijing University of Posts and Telecommunications*,[:simple-github: rioxwang/<br>BUPTGraduateThesis](https://github.com/rioxwang/BUPTGraduateThesis),:unlock:,407,115,:material-update: `2024-03-05`, 
29,**国防科技大学**,*National Defense University of Science and Technology*,[:simple-github: liubenyuan/<br>nudtpaper](https://github.com/liubenyuan/nudtpaper),:unlock:,401,157,:material-update: `2024-11-10`, 
30,**电子科技大学**,*University of Electronic Science and Technology of China*,[:simple-github: tinoryj/<br>UESTC-Thesis-Latex-Template](https://github.com/tinoryj/UESTC-Thesis-Latex-Template),:unlock:,389,84,:material-update: `2025-02-08`,:material-license: `MIT`
31,**北京理工大学**,*Beijing Institute of Technology*,[:simple-github: BIT-thesis/<br>LaTeX-template](https://github.com/BIT-thesis/LaTeX-template),:unlock:,379,93,:material-update: `2024-03-21`, 
32,**通用模板**,*Common Templates*,[:simple-github: latextemplates/<br>scientific-thesis-template](https://github.com/latextemplates/scientific-thesis-template),:unlock:,366,126,:material-update: `2025-03-05`,:material-license: `0BSD`
