index,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
0,15/0/4,[AndreyAkinshin/Russian-Phd-LaTeX-Dissertation-Template](https://github.com/AndreyAkinshin/Russian-Phd-LaTeX-Dissertation-Template), , ,1246,629,2024-02-08,2012-10-29,CC-BY-4.0,LaTeX-template for russian Phd thesis
1,15/0/4,[Digital-Media/HagenbergThesis](https://github.com/Digital-Media/HagenbergThesis), , ,188,42,2024-01-19,2016-06-10,NOASSERTION,Hagenberg LaTeX Thesis Template
2,15/0/4,[Pseudomanifold/latex-mimosis](https://github.com/Pseudomanifold/latex-mimosis), , ,1109,120,2023-11-16,2017-05-18,MIT,A minimal & modern LaTeX template for your (bachelor's | master's | doctoral) thesis
3,15/0/4,[WetenSchaap/latex-imitatie](https://github.com/WetenSchaap/latex-imitatie), , ,1,0,2022-06-17,2022-04-04,AGPL-3.0,Latex class for Dutch PhD-thesis
4,15/0/4,[derric/cleanthesis](https://github.com/derric/cleanthesis), , ,890,116,2024-02-15,2011-06-09, ,"Clean Thesis is a clean, simple, and elegant LaTeX style (or template) for thesis documents."
5,15/0/4,[dimkirt/latex-thesis-template](https://github.com/dimkirt/latex-thesis-template), ,🔒️,0,0,2018-08-06,2018-07-28, ,Latex template for thesis documents
6,15/0/4,[jankapunkt/master-thesis](https://github.com/jankapunkt/master-thesis), , ,10,9,2021-03-09,2014-05-17, ,LaTex master thesis templates that allow quick publishing as well as custom design.
7,15/0/4,[jorgepiloto/escriba](https://github.com/jorgepiloto/escriba), , ,9,0,2021-09-16,2021-09-14,NOASSERTION,Efficiently manage and automate LaTeX based academical works
8,15/0/4,[latextemplates/scientific-thesis-template](https://github.com/latextemplates/scientific-thesis-template), , ,341,117,2023-12-11,2012-07-09,0BSD,"LaTeX template for Master, Bachelor, Diploma, and Student Theses"
9,15/0/4,[openHPI/modernthesis](https://github.com/openHPI/modernthesis), ,🔒️,7,2,2017-06-30,2017-06-30, ,Bootstrapped classicthesis template
10,15/0/4,[phretor/cs-phd-dissertation-latex-template](https://github.com/phretor/cs-phd-dissertation-latex-template), ,🔒️,18,8,2012-05-14,2012-05-14,NOASSERTION,Latex template based on the typographic memoir class for formatting PhD dissertations. Suitable for any areas but devised for computer science researchers.
11,15/0/4,[sppmg/TW_Thesis_Template](https://github.com/sppmg/TW_Thesis_Template), , ,131,36,2023-08-07,2016-10-12,MIT,The LaTeX Template for TW Thesis 台灣碩博士 LaTeX 論文樣板
12,15/0/4,[suchow/Dissertate](https://github.com/suchow/Dissertate), , ,686,167,2023-02-18,2011-04-06,AGPL-3.0,Beautiful LaTeX dissertation templates.
13,15/0/4,[tdehaeze/clean-latex-template](https://github.com/tdehaeze/clean-latex-template), ,🔒️,9,4,2018-04-29,2017-06-21, ,A nice looking LaTeX templace for University reports and thesis
14,15/0/4,[zarrabi/thesis-template](https://github.com/zarrabi/thesis-template), , ,89,31,2023-06-17,2017-08-25, ,A LaTeX template for typesetting theses in Persian
