index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
0,（澳大利亚）昆士兰科技大学,Queensland University of Technology,1/0/1,[hbristow/quthesis](https://github.com/hbristow/quthesis), ,🔒️,19,10,2017-06-09,2014-01-10,BSD-3-Clause,A LaTeX thesis template for PhD students at the Queensland University of Technology (QUT)
1,（澳大利亚）悉尼大学,University of Sydney,1/0/0,[danhey/thesis](https://github.com/danhey/thesis), , ,16,15,2022-09-25,2018-06-22, ,Latex thesis template for the University of Sydney honours/masters/PhD
2,（澳大利亚）新南威尔士大学,University of New South Wales,1/0/1,[andrewletten/LettenPhDThesis2015](https://github.com/andrewletten/LettenPhDThesis2015), ,🔒️,2,1,2017-06-10,2017-06-10,MIT,PhD thesis 2015 (includes all LaTeX source files)
3,（澳大利亚）詹姆斯·库克大学,James Cook University,1/0/1,[davidjb/JCU-Thesis-LyX-Layout](https://github.com/davidjb/JCU-Thesis-LyX-Layout), ,🔒️,4,2,2011-12-07,2011-12-07, ,"LyX layout, class, and imagery for your James Cook University thesis/theses"
4,（奥地利）格拉茨技术大学,"Graz University of Technology (Technische Universität Graz, TU Graz)",1/0/1,[MarkusPic/master_thesis_template](https://github.com/MarkusPic/master_thesis_template), ,🔒️,0,0,2019-04-02,2019-02-22,MIT,Master thesis template for Latex and Lyx / Vorlage für die Masterarbeit am Institut für Siedlungswasserwirtschaft an der TU Graz
5,（波兰）华沙工业大学,Warsaw University of Technology (Politechnika Warszawska),1/0/0,[ArturB/WUT-Thesis](https://github.com/ArturB/WUT-Thesis), , ,195,19,2023-01-27,2019-04-26,GPL-3.0,LaTeX template for engineer and master thesis for Warsaw University of Technology.
6,（丹麦）奥尔堡大学,"Aalborg University (Aalborg Universitet, AAU)",1/0/0,[jkjaer/aauLatexTemplates](https://github.com/jkjaer/aauLatexTemplates), , ,164,141,2023-02-17,2018-01-29,BSD-3-Clause,A collection of Aalborg University LaTeX-templates
7,（德国）柏林工业大学,Technical University of Berlin (Technische Universität Berlin),1/0/1,[holgern/TUB_PhDThesisTemplate](https://github.com/holgern/TUB_PhDThesisTemplate), ,🔒️,32,11,2017-11-10,2016-03-12,MIT,"An unofficial PhD Thesis template for pdflatex, lualatex and xelatex for the Technical University of Berlin. The pdf-files are following the PDF/A-1b standard."
8,（德国）柏林洪堡大学,"Humboldt University of Berlin (Humboldt-Universität zu Berlin, HU Berlin)",1/0/1,[benmaier/LyXTufteThesis](https://github.com/benmaier/LyXTufteThesis), ,🔒️,1,0,2018-11-09,2017-10-07, ,A LyX template for PhD theses at HU Berlin
9,（德国）达姆施塔特工业大学,"Industrial University of Darmstadt (Technische Universität Darmstadt, TU Darmstadt)",1/0/1,[zemirco/tu-darmstadt-latex-thesis](https://github.com/zemirco/tu-darmstadt-latex-thesis), ,🔒️,40,19,2013-03-03,2013-02-04, ,LaTeX template for any thesis at the TU Darmstadt
10,（德国）康斯坦茨应用科技大学,Konstanz University of Applied Sciences (Hochschule Konstanz HTWG ),1/0/1,[AihamAbusaleh/thesis-template-latex](https://github.com/AihamAbusaleh/thesis-template-latex), ,🔒️,0,2,2018-07-19,2018-03-26, ,Thesis Latex Template Hochschule Konstanz HTWG
11,（德国）慕尼黑工业大学,Technical University of Munich (Technische Universität München),4/1/1,[TUM-LIS/tum-dissertation-latex](https://github.com/TUM-LIS/tum-dissertation-latex), , ,86,42,2023-07-22,2016-11-24,CC-BY-4.0,Latex template for a TUM dissertation/PhD thesis
12,（德国）慕尼黑工业大学,Technical University of Munich (Technische Universität München),4/1/1,[fwalch/tum-thesis-latex](https://github.com/fwalch/tum-thesis-latex),📦, ,425,216,2022-12-20,2014-03-26, ,:notebook_with_decorative_cover: A LaTeX template for TUM Bachelor/Master theses.
13,（德国）慕尼黑工业大学,Technical University of Munich (Technische Universität München),4/1/1,[nnedkov/tum-thesis-latex](https://github.com/nnedkov/tum-thesis-latex), ,🔒️,16,8,2018-11-11,2016-07-15, , 
14,（德国）慕尼黑工业大学,Technical University of Munich (Technische Universität München),4/1/1,[waltsims/TUM_Thesis_Template_CSE](https://github.com/waltsims/TUM_Thesis_Template_CSE), , ,49,31,2020-05-08,2017-04-05, ,A Latex template for the TUM graduate program Computational Science and Engineering (CSE).
15,（俄罗斯）莫斯科国立航空学院,"Moscow Aviation Institute (Московский авиационный институт, МАИ)",1/0/0,[NetherQuartz/BachelorThesis](https://github.com/NetherQuartz/BachelorThesis), , ,0,0,2022-06-05,2022-04-25,GPL-3.0,Выпускная квалификационная работа бакалавра каф. 805 МАИ
16,（俄罗斯）莫斯科罗蒙诺索夫国立大学,"Lomonosov Moscow State University (Московский государственный университет имени М.В.Ломоносова, MSU)",1/0/0,[SweetVishnya/msu-thesis](https://github.com/SweetVishnya/msu-thesis), , ,18,6,2021-07-05,2020-04-03, ,Lomonosov Moscow State University (MSU) LaTeX Thesis Template
