index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
0,（美国）北卡罗来纳大学夏洛特分校,University of North Carolina at Charlotte,1/0/1,[cci-grads/uncc-thesis-latex](https://github.com/cci-grads/uncc-thesis-latex), ,🔒️,14,10,2019-02-27,2013-02-18, ,LaTeX template for UNC-Charlotte dissertations
1,（美国）北卡罗来纳州立大学,North Carolina State University,1/0/1,[jhykes/ncsuthesis](https://github.com/jhykes/ncsuthesis), ,🔒️,13,6,2019-07-08,2011-04-12, ,A LaTeX thesis class conforming to NC State ETD guidelines
2,（美国）德克萨斯州大学奥斯汀分校,University of Texas at Austin,1/0/1,[OttoStruve/UT-thesis](https://github.com/OttoStruve/UT-thesis), ,🔒️,0,5,2018-06-27,2016-03-08,MIT,"UT thesis template, so we can stop passing it around via email like animals"
3,（美国）华盛顿大学,University of Washington (UW),1/1/0,[UWIT-IAM/UWThesis](https://github.com/UWIT-IAM/UWThesis),📦, ,58,54,2021-11-09,2014-11-17,NOASSERTION,Class file for University of Washington thesis formatting with LaTeX.
4,（美国）加利福尼亚大学洛杉矶分校,"University of California, Los Angeles (UCLA)",1/0/0,[uclathes/uclathes](https://github.com/uclathes/uclathes), , ,120,83,2020-06-15,2012-04-16, ,UCLA Thesis LaTeX style
5,（美国）加利福尼亚大学欧文分校,"University of California, Irvine (UCI)",1/0/0,[lotten/uci-thesis-latex](https://github.com/lotten/uci-thesis-latex), , ,74,55,2022-04-13,2012-10-10, ,LaTeX template for thesis and dissertation documents at UC Irvine
6,（美国）加利福尼亚大学圣迭戈分校,"University of California, San Diego (UCSD)",1/0/0,[ucsd-thesis/ucsd-thesis](https://github.com/ucsd-thesis/ucsd-thesis), , ,68,57,2022-06-27,2016-12-31,MIT, 
7,（美国）加利福尼亚大学圣克鲁斯分校,"University Of California, Santa Cruz (UCSC)",1/0/0,[adamnovak/ucscthesis](https://github.com/adamnovak/ucscthesis), , ,13,23,2020-12-05,2014-05-23,NOASSERTION,LaTeX templates for UCSC thesis and/or advancement (thesis proposal)
8,（美国）科罗拉多州立大学,Colorado State University,1/0/0,[idfah/csuthesis](https://github.com/idfah/csuthesis), , ,42,33,2020-05-08,2017-02-04,NOASSERTION,Colorado State University LaTeX Thesis/Dissertation Template
9,（美国）罗格斯大学,Rutgers University,1/0/1,[rucsgss/thesis](https://github.com/rucsgss/thesis), ,🔒️,23,16,2019-11-10,2015-04-14, ,LaTeX template for Rutgers University Computer Science thesis
10,（美国）麻省理工学院,Massachusetts Institute of Technology (MIT),1/0/0,[kljensen/mit-phd-thesis](https://github.com/kljensen/mit-phd-thesis), , ,62,32,2024-02-26,2010-01-10, ,MIT Ph.D. Thesis in LaTeX
11,（美国）马凯特大学,Marquette University,1/1/0,[pdgessler/mugsthesis](https://github.com/pdgessler/mugsthesis),📦, ,2,2,2022-09-01,2014-08-07, ,"A thesis class, based on memoir, complying with Marquette University Graduate School requirements"
12,（美国）马萨诸塞大学,University of Massachusetts (UMass),1/0/0,[umasscs/umassthesis](https://github.com/umasscs/umassthesis), , ,57,46,2023-10-18,2011-11-03, ,Unofficial UMass thesis style files for use with LaTeX
13,（美国）密歇根州立大学,Michigan State University,1/0/0,[amunn/msu-thesis](https://github.com/amunn/msu-thesis), , ,19,9,2024-02-19,2011-09-11, ,Thesis Class for Michigan State University
14,（美国）乔治·华盛顿大学,George Washington University (GWU),1/0/0,[skulumani/thesis-gwu](https://github.com/skulumani/thesis-gwu), , ,28,15,2022-07-27,2016-09-25,GPL-3.0,GWU SEAS sample thesis
15,（美国）斯坦福大学,Stanford University,2/0/1,[dcroote/stanford-thesis-example](https://github.com/dcroote/stanford-thesis-example), , ,38,20,2024-02-18,2019-06-11,MIT,Stanford LaTeX thesis template
16,（美国）斯坦福大学,Stanford University,2/0/1,[jbau/thesis](https://github.com/jbau/thesis), ,🔒️,0,2,2013-05-21,2013-05-21, , 
17,（美国）威廉与玛丽学院,College of William and Mary,1/0/0,[yishanhe/WM-AS-thesis-latex-template](https://github.com/yishanhe/WM-AS-thesis-latex-template), , ,7,5,2024-02-09,2017-10-23,MIT,[CONTRIBUTORS NEEDED] A LaTeX template keeps up with the College of William & Mary - Art & Science Physical Standards for Theses & Dissertations.
18,（美国）威斯康星大学麦迪逊分校,University of Wisconsin-Madison,1/0/1,[willb/wi-thesis-template](https://github.com/willb/wi-thesis-template), ,🔒️,50,34,2016-05-17,2008-10-01,NOASSERTION,LaTeX dissertation template for the University of Wisconsin--Madison
19,（美国）西北大学,Northwestern University,1/0/1,[h-havenga/The-unofficial-NWU-LaTeX-template](https://github.com/h-havenga/The-unofficial-NWU-LaTeX-template), ,🔒️,0,0,2018-04-05,2017-11-09, ,Becuase LaTeX rules
20,（美国）印第安纳大学,Indiana University,1/0/1,[liang-chen/IU-PhD-Thesis-Template](https://github.com/liang-chen/IU-PhD-Thesis-Template), ,🔒️,26,25,2018-05-01,2018-02-01,MIT,Indiana University PhD Dissertation Latex Template
21,（美国）约翰斯·霍普金斯大学,Johns Hopkins University,1/0/1,[weitzner/jhu-thesis-template](https://github.com/weitzner/jhu-thesis-template), ,🔒️,37,85,2018-07-18,2014-04-29, ,JHU Thesis Template
