index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
0,安徽大学,Anhui University,1/0/1,[qxx/AHU_Thesis](https://github.com/qxx/AHU_Thesis), ,🔒️,5,1,2014-03-11,2014-03-11,GPL-2.0,Anhui University Thesis Template for Undergraduate Students
1,北方民族大学,Northern Minzu University,1/0/1,[WizenZhang/NMUThesis](https://github.com/WizenZhang/NMUThesis), ,🔒️,6,8,2019-06-12,2018-08-02,MIT,北方民族大学学位论文LaTeX模板
2,北京大学,Peking University,8/0/1,[AllanChain/pkuthss-lyx](https://github.com/AllanChain/pkuthss-lyx), , ,0,0,2023-04-03,2023-04-03,MIT,Write PKU thesis with LyX is very easy.
3,北京大学,Peking University,8/0/1,[CasperVector/pkuthss](https://github.com/CasperVector/pkuthss), , ,498,177,2024-02-28,2015-04-28, ,LaTeX template for dissertations in Peking University
4,北京大学,Peking University,8/0/1,[GXIU/Easy-Templates](https://github.com/GXIU/Easy-Templates), , ,5,1,2020-07-18,2020-05-14, ,Minimum latex templates including PKU Thesis. Please Star 求加星！
5,北京大学,Peking University,8/0/1,[Thesharing/pkuthss](https://github.com/Thesharing/pkuthss), , ,29,15,2020-04-16,2020-03-04, ,LaTeX template for dissertations in Peking University
6,北京大学,Peking University,8/0/1,[bochentan/PKU_EECS_UGR_THSS](https://github.com/bochentan/PKU_EECS_UGR_THSS), , ,27,22,2020-07-04,2019-04-12, ,"Latex Template for Undergraduate Thesis at School of EECS, Peking University"
7,北京大学,Peking University,8/0/1,[doubleZ0108/pkuthss-mac](https://github.com/doubleZ0108/pkuthss-mac), , ,26,3,2021-12-18,2021-12-12, ,北京大学学位论文Latex模板(for Mac)，基于pkuthss v1.9.1修改，主要进行Mac的适配修改、个人最佳实践说明、配置踩坑经验
8,北京大学,Peking University,8/0/1,[vidon/pkuthssLyX](https://github.com/vidon/pkuthssLyX), ,🔒️,5,2,2016-06-04,2016-06-28, ,A LyX template for thesis of Peking University
9,北京大学,Peking University,8/0/1,[wongsingfo/pku-grad-thesis](https://github.com/wongsingfo/pku-grad-thesis), , ,21,1,2022-05-15,2021-04-22, ,北京大学本科生毕业论文 latex 模版，基于 pkuthss 1.9.0 修改
10,北京工业大学,Beijing University of Technology,1/0/0,[xiaoyaoE/bjutThesis](https://github.com/xiaoyaoE/bjutThesis), , ,26,7,2021-01-14,2019-04-27, ,北京工业大学学位论文latex模板
11,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),7/1/2,[BHOSC/BUAAthesis](https://github.com/BHOSC/BUAAthesis), , ,915,277,2023-06-29,2012-06-17,NOASSERTION,北航毕设论文LaTeX模板
12,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),7/1/2,[CheckBoxStudio/BUAAThesis](https://github.com/CheckBoxStudio/BUAAThesis), , ,473,102,2024-02-01,2017-12-19,MIT,北航研究生学位论文模板（Word+LaTeX）.
13,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),7/1/2,[JunyiHua/latex-mould-for-BUAA-bachelor-thesis-2021](https://github.com/JunyiHua/latex-mould-for-BUAA-bachelor-thesis-2021), , ,4,0,2021-01-12,2021-01-04, ,北航2021毕业论文latex模板
14,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),7/1/2,[Kelmory/BUAA-Thesis-BWE](https://github.com/Kelmory/BUAA-Thesis-BWE),📦,🔒️,44,8,2019-06-12,2019-05-21,MIT,北航本科生毕业设计论文模板。BUAA dissertation template of undergraduate.
15,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),7/1/2,[ZhuGongpu/BUAA-Graduate-Dissertation-Template](https://github.com/ZhuGongpu/BUAA-Graduate-Dissertation-Template), ,🔒️,12,1,2018-09-28,2018-04-18,MIT,北航研究生毕业论文模版
16,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),7/1/2,[aofenghanyue/PhDThesisWordTemplate](https://github.com/aofenghanyue/PhDThesisWordTemplate), , ,5,0,2021-11-27,2021-11-27,MIT,北航博士毕业设计/学位论文word模板，依据《北京航空航天大学研究生撰写学位论文的规定(2020.07)》制作
17,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),7/1/2,[yzd-v/BUAA_thesis_overleaf](https://github.com/yzd-v/BUAA_thesis_overleaf), , ,26,4,2021-12-04,2021-12-04,NOASSERTION,北航毕设论文overleaf Latex模板
18,北京化工大学,Beijing University of Chemical Technology,1/0/0,[qianqianjun/UnetFCNDAE](https://github.com/qianqianjun/UnetFCNDAE), , ,1,2,2020-06-19,2020-04-05, ,北京化工大学本科毕业设计（论文）
19,北京交通大学,Beijing Jiaotong University,4/0/2,[chenzewei01/bjtuThesis](https://github.com/chenzewei01/bjtuThesis), ,🔒️,14,10,2014-11-07,2014-05-07, ,北京交通大学毕设LaTeX模板
20,北京交通大学,Beijing Jiaotong University,4/0/2,[labusi/bjtu-thesis](https://github.com/labusi/bjtu-thesis), ,🔒️,10,4,2018-04-30,2018-04-27,Apache-2.0,北京交通大学学位论文非官方latex模版
21,北京交通大学,Beijing Jiaotong University,4/0/2,[paulzhn/bjtu-bachelor-thesis](https://github.com/paulzhn/bjtu-bachelor-thesis), , ,43,6,2022-06-28,2022-04-02, ,北京交通大学本科毕设latex模板（非官方）
22,北京交通大学,Beijing Jiaotong University,4/0/2,[xfdywy/bjtu-thesis-templete](https://github.com/xfdywy/bjtu-thesis-templete), , ,74,27,2021-01-03,2020-04-13, ,北京交通大学研究生毕业论文非官方模版
23,北京科技大学,Beijing University of Science and Technology,3/0/2,[Jeff-Hugh/USTBThesis](https://github.com/Jeff-Hugh/USTBThesis), , ,43,15,2022-12-01,2015-12-21, ,Thesis Tex model for USTB
24,北京科技大学,Beijing University of Science and Technology,3/0/2,[liuzhaoboatenficomcn/Latex-template-for-University-of-Science-and-Technology-Beijing](https://github.com/liuzhaoboatenficomcn/Latex-template-for-University-of-Science-and-Technology-Beijing), ,🔒️,6,6,2018-10-10,2018-10-10, ,Latex template for University of Science and Technology Beijing
25,北京科技大学,Beijing University of Science and Technology,3/0/2,[qin-nz/USTB-latex](https://github.com/qin-nz/USTB-latex), ,🔒️,9,3,2015-06-02,2014-08-30,MIT,latex template for undergraduate student in University of Science &amp; Technology Beijing (USTB)
26,北京理工大学,Beijing Institute of Technology,7/0/1,[BIT-thesis/LaTeX-template](https://github.com/BIT-thesis/LaTeX-template), , ,349,90,2021-11-01,2017-03-08, ,LaTeX template for BIT thesis
27,北京理工大学,Beijing Institute of Technology,7/0/1,[BITNP/BIThesis](https://github.com/BITNP/BIThesis), , ,527,94,2024-02-29,2020-01-12,LPPL-1.3c,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）
28,北京理工大学,Beijing Institute of Technology,7/0/1,[FDUZS/BIThesis](https://github.com/FDUZS/BIThesis), , ,6,0,2022-11-25,2020-09-11,LPPL-1.3c,北京理工大学硕士博士研究生学位论文 LaTeX 模板 — 非官方
29,北京理工大学,Beijing Institute of Technology,7/0/1,[PolarLion/BIT-thesis-template](https://github.com/PolarLion/BIT-thesis-template), , ,2,0,2022-10-03,2022-10-02, ,北京理工大学研究生毕业论文无bug模板-template for graduate thesis of Beijing Institute of Technology (No bug ver.)
30,北京理工大学,Beijing Institute of Technology,7/0/1,[jiandahao/BIT-thesis-LaTex](https://github.com/jiandahao/BIT-thesis-LaTex), , ,56,21,2020-05-06,2019-05-14,MIT,北京理工大学学硕士/博士学位毕业论文LaTeX模板（LaTeX Template for BIT thesis）
31,北京理工大学,Beijing Institute of Technology,7/0/1,[qiuzhu/BITthesis](https://github.com/qiuzhu/BITthesis), ,🔒️,57,19,2017-10-11,2016-08-17,GPL-3.0,Thesis Template of Beijing Institute of Technology Using LaTeX
32,北京理工大学,Beijing Institute of Technology,7/0/1,[zhang-datou/BIT_Thesis](https://github.com/zhang-datou/BIT_Thesis), , ,12,10,2020-05-03,2016-11-16, ,北京理工大学硕士毕业论文word和latex模板
33,北京林业大学,Beijing Forestry University,2/0/1,[DeeDive/BJFUThesis](https://github.com/DeeDive/BJFUThesis), , ,23,5,2022-06-21,2021-05-11, ,北京林业大学 LaTeX 学位论文模板 LaTeX Thesis Template for Beijing Forestry University
