index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
0,澳门大学（澳門大學）,University of Macau (UM),2/0/2,[gwwang16/UM-PhD-Thesis-Latex-TMPL](https://github.com/gwwang16/UM-PhD-Thesis-Latex-TMPL), ,🔒️,0,1,2018-11-09,2018-11-09, ,"This is a LaTeX template of phd thesis, which follows most of the requirements of the University of Macao."
1,澳门大学（澳門大學）,University of Macau (UM),2/0/2,[williamwuzeyi/UM-FST-MSc-Thesis-LaTeX-TMPL](https://github.com/williamwuzeyi/UM-FST-MSc-Thesis-LaTeX-TMPL), ,🔒️,6,2,2018-10-04,2018-10-03, ,"This is a LaTeX template of master thesis, which follows most of the requirement (ancient records) of the Faculty of Science and Technology (FST) of the University of Macao."
2,澳门科技大学（澳門科技大學）,Macau University of Science and Technology (MUST),2/0/0,[Tim-eyes/MUST_Thesis_Template](https://github.com/Tim-eyes/MUST_Thesis_Template), , ,0,0,2022-04-25,2022-03-24,NOASSERTION,MUST degree thesis tex template
3,澳门科技大学（澳門科技大學）,Macau University of Science and Technology (MUST),2/0/0,[iihciyekub/MUST-Thesis](https://github.com/iihciyekub/MUST-Thesis), , ,23,10,2024-02-20,2019-05-30, ,"latex-template: 澳门科技大学,硕士or博士毕业论文模版"
4,国立成功大学（國立成功大學）,National Cheng Kung University (NCKU),1/0/0,[wengan-li/ncku-thesis-template-latex](https://github.com/wengan-li/ncku-thesis-template-latex), , ,83,35,2023-01-29,2014-10-13,NOASSERTION,NCKU Thesis/Dissertation Template in Latex | 台灣國立成功大學碩博士用畢業論文LaTex模板
5,国立高雄科技大学（國立高雄科技大學）,National Kaohsiung First University of Science and Technology (NKFUST),1/0/0,[yuhao-kuo/NKUST-thesis-template](https://github.com/yuhao-kuo/NKUST-thesis-template), , ,6,12,2023-11-22,2020-01-30, ,國立高雄科技大學 研究所論文 LaTeX 版型
6,国立清华大学（國立清華大學）,National Tsing Hua University (NTHU),2/0/2,[HW-Lee/nthu-thesis-template](https://github.com/HW-Lee/nthu-thesis-template), ,🔒️,39,25,2016-07-26,2016-07-25, ,Latex thesis template in NTHU
7,国立清华大学（國立清華大學）,National Tsing Hua University (NTHU),2/0/2,[yszheda/nthu-master-thesis](https://github.com/yszheda/nthu-master-thesis), ,🔒️,3,0,2014-06-12,2014-06-12,MIT,LaTeX templates for NTHU master thesis
8,国立台湾大学（國立臺灣大學）,National Taiwan University (NTU),4/0/2,[Hsins/NTU-Thesis-LaTeX-Template](https://github.com/Hsins/NTU-Thesis-LaTeX-Template), , ,80,22,2023-09-05,2018-06-04,MIT,🎓 Unofficial LaTeX templates for your graduate thesis (both master's theses and doctoral dissertations) at National Taiwan University. 國立臺灣大學碩博士學位論文 LaTeX 模板
9,国立台湾大学（國立臺灣大學）,National Taiwan University (NTU),4/0/2,[chujay/NTU_latex](https://github.com/chujay/NTU_latex), ,🔒️,2,1,2017-07-27,2017-07-27, ,The NTU-paper format with Latex
