index,zh,en,count,github-repository,status,forks_count,watchers_count,subscribers_count,pushed_at,created_at,updated_at,desc
0,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),1/1,[ixzhao/BUAA_Dissertation_Template](https://github.com/ixzhao/BUAA_Dissertation_Template),1,12,42,1,2023-03-25T04:08:17Z,2021-12-16T06:18:47Z,2023-11-24T21:12:45Z,北航硕博研究生毕业设计论文模板（Word）
1,北京邮电大学,Beijing University of Posts and Telecommunications,1/1,[sigmarising/BUPTMasterThesisWord](https://github.com/sigmarising/BUPTMasterThesisWord),1,29,182,3,2023-06-12T15:01:52Z,2022-02-08T07:16:39Z,2023-11-24T07:41:41Z,The Microsoft Office Word template of BUPT Thesis for Master Degree.
2,东北大学,Northeastern University,1/1,[NEUAI/neuthesis-bachelor-msword](https://github.com/NEUAI/neuthesis-bachelor-msword),1,1,12,1,2019-06-06T08:14:22Z,2018-11-16T03:17:25Z,2022-02-28T04:10:28Z,The Microsoft Word template of Bachelor thesis for Northeastern University (China).（东北大学本科生毕业设计论文Microsoft Word模板）
3,南方科技大学,Southern University of Science and Technology,1/1,[jerrylususu/sustech-thesis-word](https://github.com/jerrylususu/sustech-thesis-word),1,0,0,2,2021-06-08T12:01:08Z,2021-06-08T11:59:18Z,2021-06-08T12:01:10Z,南方科技大学毕业论文 Word 模板
4,南京大学,Nanjing University,1/1,[idealclover/NJU-Thesis-Word](https://github.com/idealclover/NJU-Thesis-Word),1,2,12,1,2020-05-14T10:46:42Z,2020-04-15T02:49:06Z,2023-09-15T08:43:45Z,南京大学本科毕业论文 Word 模板
5,清华大学,Tsinghua University,1/1,[qbh16/ThuWordThesis](https://github.com/qbh16/ThuWordThesis),1,4,115,2,2023-03-22T13:51:52Z,2021-05-13T11:52:07Z,2023-11-13T04:22:20Z,清华大学学位论文Word模板。A Word thesis template for Tsinghua University.
6,山东大学,Shandong University,1/1,[tianyu-su/sdu-theis-template](https://github.com/tianyu-su/sdu-theis-template),1,0,6,1,2023-01-20T17:05:35Z,2023-01-20T10:20:28Z,2023-11-20T02:02:01Z,山东大学硕（博）学位论文模板（word版）
7,上海交通大学,Shanghai Jiaotong University,1/1,[pydxflwb/SJTUUndergraduateThesis2021-Word](https://github.com/pydxflwb/SJTUUndergraduateThesis2021-Word),1,0,0,2,2021-05-20T02:40:06Z,2021-05-20T02:39:23Z,2021-05-20T02:40:09Z,上海交通大学本科毕设论文模板2021Word版
8,四川大学,Sichuan University,3/3,[IcyFeather233/SCU-Graduation-Thesis](https://github.com/IcyFeather233/SCU-Graduation-Thesis),1,0,0,1,2023-04-13T07:25:40Z,2023-04-13T07:24:31Z,2023-04-13T07:24:31Z,四川大学本科毕业论文（设计）word模板及要求
9,四川大学,Sichuan University,3/3,[SunnyHaze/scu-thesis-template](https://github.com/SunnyHaze/scu-thesis-template),1,1,19,1,2023-04-27T12:50:06Z,2023-03-13T13:33:06Z,2023-07-06T14:14:45Z,四川大学本科毕业论文word模板及常见要求
10,四川大学,Sichuan University,3/3,[northword/SCU-Thesis-MSWord-Template](https://github.com/northword/SCU-Thesis-MSWord-Template),1,0,0,1,2023-03-14T14:06:03Z,2023-03-14T13:05:16Z,2023-03-14T14:08:18Z,四川大学建筑与环境学院硕博士研究生学位论文 Word 模板
11,武汉大学,Wuhan University,2/2,[Yimsun97/thesisTemplate](https://github.com/Yimsun97/thesisTemplate),1,4,14,1,2019-11-11T03:50:53Z,2019-10-21T07:32:51Z,2023-11-25T03:20:40Z,武汉大学本科生毕业论文Word模板
12,武汉大学,Wuhan University,2/2,[happytianhao/-Word-](https://github.com/happytianhao/-Word-),1,0,0,0,2020-04-19T13:51:23Z,2020-04-19T13:48:09Z,2020-04-27T01:57:42Z,武汉大学计算机学院本科生毕业论文Word模板（瞎搞的，不是很formal）
13,西安交通大学,Xi'an Jiaotong University,1/1,[obster-y/XJTU-thesis-Office](https://github.com/obster-y/XJTU-thesis-Office),1,1,15,2,2023-06-05T19:56:59Z,2022-05-17T14:25:22Z,2023-10-16T11:47:33Z,西安交通大学学位论文模板（Office）（适用硕士、博士学位）An unofficial Office template for Xi'an Jiaotong University degree thesis (Chinese and English)
14,西北工业大学,Northwestern Polytechnical University,1/1,[Sirius0v0/word-template-for-NPU-thesis](https://github.com/Sirius0v0/word-template-for-NPU-thesis),1,1,5,1,2023-07-07T08:20:13Z,2022-05-05T14:25:39Z,2023-08-18T03:09:58Z,西北工业大学本科毕业设计论文模板（word 版本 | Microsoft Office Word）
15,中国科学院大学,University of Chinese Academy of Sciences,1/1,[xmicroshell/UCAS-Thesis](https://github.com/xmicroshell/UCAS-Thesis),1,1,4,2,2021-03-17T11:03:45Z,2021-03-14T13:29:59Z,2023-09-05T03:24:09Z,中国科学院大学学位论文 Word模板
16,中山大学,Sun Yat-sen University,1/1,[HareInWeed/SYSU-thesis](https://github.com/HareInWeed/SYSU-thesis),1,1,8,1,2021-02-23T01:15:36Z,2021-02-22T07:06:08Z,2023-04-18T07:36:41Z,SYSU-thesis: 中山大学本科生毕业论文(设计) Word 模板 （非官方）
