index,zh,en,count,github-repository,status,forks_count,watchers_count,subscribers_count,pushed_at,created_at,updated_at,desc
0,澳门科技大学（澳門科技大學）,Macau University of Science and Technology (MUST),2/2,[Tim-eyes/MUST_Thesis_Template](https://github.com/Tim-eyes/MUST_Thesis_Template),1,0,0,1,2022-04-25T06:53:29Z,2022-03-24T08:46:08Z,2022-04-08T08:26:57Z,MUST degree thesis tex template
1,澳门科技大学（澳門科技大學）,Macau University of Science and Technology (MUST),2/2,[iihciyekub/MUST-Thesis](https://github.com/iihciyekub/MUST-Thesis),1,10,22,1,2023-06-25T07:27:25Z,2019-05-30T21:10:56Z,2023-10-16T15:15:01Z,"latex-template: 澳门科技大学,硕士or博士毕业论文模版"
2,国立成功大学（國立成功大學）,National Cheng Kung University (NCKU),1/1,[wengan-li/ncku-thesis-template-latex](https://github.com/wengan-li/ncku-thesis-template-latex),1,33,80,5,2023-01-29T09:43:24Z,2014-10-13T16:32:32Z,2023-11-09T05:45:14Z,NCKU Thesis/Dissertation Template in Latex | 台灣國立成功大學碩博士用畢業論文LaTex模板
3,国立高雄科技大学（國立高雄科技大學）,National Kaohsiung First University of Science and Technology (NKFUST),1/1,[yuhao-kuo/NKUST-thesis-template](https://github.com/yuhao-kuo/NKUST-thesis-template),1,13,5,2,2023-11-22T14:46:15Z,2020-01-30T09:02:33Z,2023-11-21T18:16:00Z,國立高雄科技大學 研究所論文 LaTeX 版型
4,国立清华大学（國立清華大學）,National Tsing Hua University (NTHU),0/2,[HW-Lee/nthu-thesis-template](https://github.com/HW-Lee/nthu-thesis-template),0,24,39,2,2016-07-26T03:54:03Z,2016-07-25T14:48:33Z,2023-11-23T09:43:09Z,**【长久未更新】** Latex thesis template in NTHU
5,国立清华大学（國立清華大學）,National Tsing Hua University (NTHU),0/2,[yszheda/nthu-master-thesis](https://github.com/yszheda/nthu-master-thesis),0,0,3,1,2014-06-12T12:21:08Z,2014-06-12T12:05:46Z,2023-05-24T11:17:21Z,**【长久未更新】** LaTeX templates for NTHU master thesis
6,国立台湾大学（國立臺灣大學）,National Taiwan University (NTU),3/4,[Hsins/NTU-Thesis-LaTeX-Template](https://github.com/Hsins/NTU-Thesis-LaTeX-Template),1,22,76,1,2023-09-05T07:06:39Z,2018-06-04T01:40:21Z,2023-11-05T14:51:31Z,🎓 Unofficial LaTeX templates for your graduate thesis (both master's theses and doctoral dissertations) at National Taiwan University. 國立臺灣大學碩博士學位論文 LaTeX 模板
7,国立台湾大学（國立臺灣大學）,National Taiwan University (NTU),3/4,[chujay/NTU_latex](https://github.com/chujay/NTU_latex),0,1,2,1,2017-07-27T04:31:28Z,2017-07-27T03:55:34Z,2019-01-15T06:52:10Z,**【长久未更新】** The NTU-paper format with Latex
8,国立台湾大学（國立臺灣大學）,National Taiwan University (NTU),3/4,[mediaic/NTU_MS_Thesis](https://github.com/mediaic/NTU_MS_Thesis),1,27,108,2,2018-08-13T13:08:24Z,2018-06-04T13:24:18Z,2023-11-09T15:02:23Z,National Taiwan University Master's Thesis Template (Latex + Word)
9,国立台湾大学（國立臺灣大學）,National Taiwan University (NTU),3/4,[tzhuan/ntu-thesis](https://github.com/tzhuan/ntu-thesis),1,126,240,11,2022-04-06T15:49:08Z,2013-04-22T13:50:10Z,2023-05-22T13:46:38Z,NTU thesis template for XeLaTeX
10,国立台湾科技大学（國立臺灣科技大學）,National Taiwan University of Science and Technology (NTUST),1/1,[hadziq/ntust-thesis](https://github.com/hadziq/ntust-thesis),1,12,26,3,2022-07-30T15:35:20Z,2015-06-13T08:19:57Z,2023-09-24T19:15:50Z,The Graduate Thesis Template in NTUST 國立台灣科技大學的論文 LaTeX 範本
