index,zh,en,count,github-repository,status,forks_count,watchers_count,subscribers_count,pushed_at,created_at,updated_at,desc
0,挪威科技大学,"Norwegian University of Science and Technology (Norges teknisk-naturvitenskapelige universitet, NTNU)",2/2,[COPCSE-NTNU/bachelor-thesis-NTNU](https://github.com/COPCSE-NTNU/bachelor-thesis-NTNU),1,51,15,7,2020-01-10T07:55:14Z,2016-01-09T23:59:49Z,2023-04-04T12:22:51Z,"A Latex template, class file, and examples for writing a bachelor thesis at NTNU"
1,挪威科技大学,"Norwegian University of Science and Technology (Norges teknisk-naturvitenskapelige universitet, NTNU)",2/2,[COPCSE-NTNU/thesis-NTNU](https://github.com/COPCSE-NTNU/thesis-NTNU),1,325,79,7,2023-09-07T07:14:37Z,2019-06-27T11:38:14Z,2023-10-17T10:53:15Z,"An NTNU thesis LaTeX document class for bachelor, master, and PhD theses"
2,新加坡国立大学,National University of Singapore,1/3,[ramananbalakrishnan/nus-thesis-latex-template](https://github.com/ramananbalakrishnan/nus-thesis-latex-template),0,10,10,2,2015-11-14T18:58:13Z,2015-01-26T15:03:17Z,2020-10-02T07:24:07Z,**【长久未更新】** A LaTeX template for NUS Masters/PhD theses
3,新加坡国立大学,National University of Singapore,1/3,[saurabhg17/SPhdThesis](https://github.com/saurabhg17/SPhdThesis),0,8,24,3,2014-06-20T05:58:34Z,2013-06-08T15:59:39Z,2023-02-16T04:51:37Z,**【长久未更新】** A Latex template for writing PhD Thesis
4,新加坡国立大学,National University of Singapore,1/3,[streamjoin/nusthesis](https://github.com/streamjoin/nusthesis),1,26,102,10,2022-07-01T03:41:47Z,2017-11-17T14:42:00Z,2023-11-17T12:54:50Z,A LaTeX template for thesis of the National University of Singapore (NUS)
5,新加坡南洋理工大学,Nanyang Technological University (NTU),1/1,[wang-chen/thesis_template_ntu](https://github.com/wang-chen/thesis_template_ntu),1,41,122,3,2021-10-14T20:39:00Z,2018-05-08T03:42:44Z,2023-11-25T03:12:53Z,Thesis Latex Template for Nanyang Technological University (NTU)
6,（澳大利亚）昆士兰科技大学,Queensland University of Technology,0/1,[hbristow/quthesis](https://github.com/hbristow/quthesis),0,10,19,0,2017-06-09T11:29:33Z,2014-01-10T07:33:01Z,2023-05-19T02:13:20Z,**【长久未更新】** A LaTeX thesis template for PhD students at the Queensland University of Technology (QUT)
7,（澳大利亚）悉尼大学,University of Sydney,1/1,[danhey/thesis](https://github.com/danhey/thesis),1,15,16,1,2022-09-25T22:48:55Z,2018-06-22T05:42:01Z,2023-08-02T05:55:55Z,Latex thesis template for the University of Sydney honours/masters/PhD
8,（澳大利亚）新南威尔士大学,University of New South Wales,0/1,[andrewletten/LettenPhDThesis2015](https://github.com/andrewletten/LettenPhDThesis2015),0,1,2,1,2017-06-10T17:48:40Z,2017-06-10T17:42:54Z,2018-08-23T10:08:10Z,**【长久未更新】** PhD thesis 2015 (includes all LaTeX source files)
9,（澳大利亚）詹姆斯·库克大学,James Cook University,0/1,[davidjb/JCU-Thesis-LyX-Layout](https://github.com/davidjb/JCU-Thesis-LyX-Layout),0,2,4,3,2011-12-07T04:53:23Z,2011-12-07T02:40:27Z,2015-04-27T23:56:19Z,"**【长久未更新】** LyX layout, class, and imagery for your James Cook University thesis/theses"
10,（奥地利）格拉茨技术大学,"Graz University of Technology (Technische Universität Graz, TU Graz)",1/1,[MarkusPic/master_thesis_template](https://github.com/MarkusPic/master_thesis_template),1,0,0,1,2019-04-02T10:34:11Z,2019-02-22T09:33:56Z,2019-04-02T10:34:12Z,Master thesis template for Latex and Lyx / Vorlage für die Masterarbeit am Institut für  Siedlungswasserwirtschaft an der TU Graz
11,（波兰）华沙工业大学,Warsaw University of Technology (Politechnika Warszawska),1/1,[ArturB/WUT-Thesis](https://github.com/ArturB/WUT-Thesis),1,18,192,8,2023-01-27T19:09:06Z,2019-04-26T20:57:58Z,2023-10-24T17:51:08Z,LaTeX template for engineer and master thesis for Warsaw University of Technology.
12,（丹麦）奥尔堡大学,"Aalborg University (Aalborg Universitet, AAU)",1/1,[jkjaer/aauLatexTemplates](https://github.com/jkjaer/aauLatexTemplates),1,132,157,11,2023-02-17T10:44:05Z,2018-01-29T07:34:24Z,2023-11-10T12:30:15Z,A collection of Aalborg University LaTeX-templates
13,（德国）柏林工业大学,Technical University of Berlin (Technische Universität Berlin),0/1,[holgern/TUB_PhDThesisTemplate](https://github.com/holgern/TUB_PhDThesisTemplate),0,10,30,4,2017-11-10T15:51:35Z,2016-03-12T07:39:36Z,2023-09-13T17:53:40Z,"**【长久未更新】** An unofficial PhD Thesis template for pdflatex, lualatex and xelatex for the Technical University of Berlin. The pdf-files are following the PDF/A-1b standard."
14,（德国）柏林洪堡大学,"Humboldt University of Berlin (Humboldt-Universität zu Berlin, HU Berlin)",1/1,[benmaier/LyXTufteThesis](https://github.com/benmaier/LyXTufteThesis),1,0,1,1,2018-11-09T12:20:21Z,2017-10-07T00:27:25Z,2023-07-14T21:59:02Z,A LyX template for PhD theses at HU Berlin
15,（德国）达姆施塔特工业大学,"Industrial University of Darmstadt (Technische Universität Darmstadt, TU Darmstadt)",0/1,[zemirco/tu-darmstadt-latex-thesis](https://github.com/zemirco/tu-darmstadt-latex-thesis),0,19,40,4,2013-03-03T15:04:56Z,2013-02-04T21:24:43Z,2023-02-23T16:22:05Z,**【长久未更新】** LaTeX template for any thesis at the TU Darmstadt
16,（德国）康斯坦茨应用科技大学,Konstanz University of Applied Sciences (Hochschule Konstanz HTWG ),1/1,[AihamAbusaleh/thesis-template-latex](https://github.com/AihamAbusaleh/thesis-template-latex),1,2,0,2,2018-07-19T16:58:23Z,2018-03-26T20:14:43Z,2018-07-19T16:58:24Z,Thesis Latex Template Hochschule Konstanz HTWG
17,（德国）慕尼黑工业大学,Technical University of Munich (Technische Universität München),3/4,[TUM-LIS/tum-dissertation-latex](https://github.com/TUM-LIS/tum-dissertation-latex),1,44,83,11,2023-07-22T08:14:42Z,2016-11-24T15:28:18Z,2023-11-22T07:37:33Z,Latex template for a TUM dissertation/PhD thesis
18,（德国）慕尼黑工业大学,Technical University of Munich (Technische Universität München),3/4,[fwalch/tum-thesis-latex](https://github.com/fwalch/tum-thesis-latex),0,207,420,21,2022-12-20T20:17:39Z,2014-03-26T10:59:31Z,2023-11-03T08:16:57Z,**【已归档】** :notebook_with_decorative_cover: A LaTeX template for TUM Bachelor/Master theses.
19,（德国）慕尼黑工业大学,Technical University of Munich (Technische Universität München),3/4,[nnedkov/tum-thesis-latex](https://github.com/nnedkov/tum-thesis-latex),1,8,16,3,2018-11-11T12:42:45Z,2016-07-15T14:27:06Z,2019-01-31T10:30:10Z, 
20,（德国）慕尼黑工业大学,Technical University of Munich (Technische Universität München),3/4,[waltsims/TUM_Thesis_Template_CSE](https://github.com/waltsims/TUM_Thesis_Template_CSE),1,31,49,2,2020-05-08T08:05:34Z,2017-04-05T11:59:44Z,2023-03-21T08:15:59Z,A Latex template for the TUM graduate program Computational Science and Engineering (CSE).
21,（俄罗斯）莫斯科国立航空学院,"Moscow Aviation Institute (Московский авиационный институт, МАИ)",1/1,[NetherQuartz/BachelorThesis](https://github.com/NetherQuartz/BachelorThesis),1,0,0,2,2022-06-05T17:18:09Z,2022-04-25T18:35:16Z,2022-06-05T18:01:40Z,Выпускная квалификационная работа бакалавра каф. 805 МАИ
